split,fold,pearson,spearman,rmse
random,0,0.5143826263505044,0.48027466325248463,1.131718850030443
random,1,0.45197921625749926,0.3832211108527959,1.0603137624898853
random,2,0.5686543661763054,0.514470080784907,1.0376264080849222
random,3,0.5698882650202808,0.546009402935724,1.117733248844162
random,4,0.408361154720748,0.3673659397862621,1.1252974050461468
random,5,0.5512230227736528,0.465741791430619,0.9441641390305058
random,6,0.3642571191032742,0.3321417790234693,1.1829226618384783
random,7,0.5433623143065607,0.4881543074349317,1.1014642880426098
random,8,0.40498753083686334,0.3678948260978139,1.1410075588292106
random,9,0.5114606828460713,0.4759578965281597,1.0958207194073528
cold,0,0.17304988185547882,0.22594919813886175,1.382122521335703
cold,1,0.30573507604294003,0.29380841795804563,1.2752911801493532
cold,2,0.14322429539650308,0.1634733275843988,1.4012521685414439
cold,3,0.3455842104394444,0.2152812133564917,0.9672423692987983
cold,4,0.33096047418076235,0.26450451347322795,1.1634908174810852
cold,5,0.2739749947627794,0.2657019677576254,1.188506563280283
cold,6,0.4029480698892853,0.35318946899936493,1.0057572977693239
cold,7,0.21081900838252904,0.1959443719918437,1.4112273571901977
cold,8,0.15064949361180446,0.14347698994688574,1.271790024553784
cold,9,0.3306719307649838,0.2870304517291995,1.148475494770281
